Clayman Study ID,Clayman Business ID,Employee Business Title,Employee Employee Type,Employee Gender,Overall Performance Rating,Overall Performance Rating Description,Section Comment Owner Clayman ID,San Jose,Clean Section Comment
36,1,"VP, Technology Business Ops, PayPal",Manager,F,4,Exceeds Some,14,Yes,"2013 was a major year for it. One of its shining accomplishments is where we landed with our Agile transformation. This program started out as a very high-risk program and now, with retrospect, is being recognized as one of our greatest accomplishments. It was foundational to the success of this program. It also went through a lot of change: It adjusted its style based on feedback from the organization and has really made a lot of progress with 001. It did an outstanding job aligning many of 001’s top priorities and technology to make solid progress in 2013.~~It is dedicated and committed to leading 001 forward. It is proactive, strategic and thoughtful on how to tackle problems. I appreciate how it is helping run the organization with me; it knows 001 and it knows where we need to go given where we have been.~~Strengths:~GSD and Transformation: it is extremely action oriented. It knows how to mobilize, how to get things done and how to align a large organization. It did a phenomenal job in orchestrating large-scale change and to set up regular processes and the rhythms so that the way we run the organization becomes part of the fabric of how we work versus being done through heroics.~~Agility& Leadership: It demonstrates and leadership.  It is a quick study and is able to change course when a particular direction isn't working. Because of its confidence and hard-driving nature some people may be put off by its approach initially. I have seen that it is open to feedback and while its demeanor might not appear open, it acts on feedback and improves its performance. As I reviewed its 2012 feedback, I see it made progress in all the feedback areas.  It's been a pleasure watching it develop and grow within 001 and learn how to operate across the this complex organization.~~Communication and alignment: It is world class at driving alignment and communications. It understands how to operate a large organization and how to put the right cadence and measurements in place. It’s also been instrumental in leading CTO staff in the way we work the way we connect with other organizations and in the way we make decisions. It is a natural born leader and I appreciate it steering the Technology ship with me. ~~Development Areas:~Collaboration and ‘Teaming’: It sometimes comes across like it's “it against the rest of the organization”. Or, it might communicate in a way that makes our staff disagreements more visible than they might need to otherwise. Just as it sometimes is concerned with the changes and lack of alignment at ES, it should be conscious that perhaps some things it does cascades and highlights perceived fractures across CTO staff.  It has an opportunity to both directly develop stronger partnerships across CTO staff but facilitate processes and engagement approaches that help us work better as a team.~~Personal Interaction Style: engaging and connecting better: Its speaking style and approach can be off-putting to some people at times. It sometimes communicates in a way that is condescending or belittling to others. It’s done this with people at various levels and it should become more conscious of when it does it.  Sometimes it comes across as arrogance and other times as condescension and it hurts its ability to partner with the very people it is working"
37,1,"MTS 1, Software Engineer",Individual Contributor,M,3,Meets,38,Yes,"It did a great job in getting us to this point in many different areas.  It has very solid performance as a developer and continues to meet or beat expectations and deadlines.  Over the time working with it, it has shown great improvements in its work, ethic, and professionalism."
38,1,"MTS 1, Software Engineer",Individual Contributor,F,3,Meets,67,Yes," Execution and Quality~1. Accurate Counting and enforcement (ACEM)~- This is a very challenging and complicated project.  Every new listing and revisions needs to be counted in real time in order to prevent the leakage happening in the current platform. Daily volume is about 200m.~- The counting needs to happen at seller level. Need to ensure that the listing flow is not blocked for big sellers as they can upload listings in high volume.~- It worked on the RTAM system to address the corruption issues and enhanced the system to handle the missing use cases such as cancellation, UPI etc for the ACEM project.~- It also took a proactive approach to resolve some of the existing RTAM counting issues.~    i. Resolved the unique constraint exception happening in the RTAM PL/SQL.~    ii. Added commits to resolve the deadlock problems.~    iii. Instrumented the code to monitor the exceptions.~- It successfully took over the lead role from [colleague] as it moved to BBE insights track and kept the project on track.~- It walked thru’ the wire on plan with BU and CS partners and got sign off for the Dec ramp.~- The project is on track for the wire on.~~2. Exposing new attributes for PLI V2~- It joined the Risk infrastructure team and picked it up very quickly.~- It Implemented the Hadoop job for trusted buyer attribute.~- It did the data analysis in Hadoop as well as in Teradata and proposed the definition and threshold, which made it easier for Product to finalize the definition.~- It is the lead for the project that exposes the order fulfillment risk(OFR) type to Risk policy.~- OFR uses multiple trust science model scores and assigns the risk level based on the threshold.~- It worked with Trust science team to understand the models and proposed what can be used for the OFR use cases. It also worked with eLvis rules team to implement them.~- Even though we used many new technologies, it ensured that the project is delivered in time, smoke tested and ready to be launched in July.~- The project was delivered with high quality.~- It also set up monitoring and alerts to ensure the data quality is good.~~Team Contribution and collaboration~- Works well with the cross-functional teams.~- Actively participates in design discussions.~- Influenced the team to adapt to new technologies by taking on Hadoop and Hive.~- Signed up for the code quality awards.~~Leadership~- It took over the lead role in ACEM project. It is also scrum master for this track and leads the team of about 7 people.~- It was also the lead for OFR project and demonstrated the ability to work and lead the cross-functional teams.~- Shown excellent technical leadership by adopting Hadoop and Hive technologies.~~Summary~Overall, it had an excellent year in 2012 and got promoted to staff engineer. It continued the momentum in 2013 as well. It adopted new technologies such as Hadoop, Hive & UC4 for PLI v2 project part of CRM and yet delivered the project in time. It has shown interest in leading big project. It proactively addressed some of the existing issues in RTAM. It influences the team thru’ technical leadership and is a great team player.~~It, I sincerely thank you for all the contributions you made in 2013. I am very happy with your performance. You have clearly achieved all your goals. We have a very challenging and exciting roadmap for 2014. Standards 3.0 is one of the highly visible and critical project for Trust to reduce overall BBE and to keep the eTRS discount within budget. BRM is another key initiative for team. I expect you to"
39,1,"MTS 1, Software Engineer, Quality",Individual Contributor,M,5,Exceeds Most,72,No,It has lead the QA team completely during 2013. The excellent quality of the PS APAC Consulting team' deliveries stand testimony to its diligence and expertise. I am happy that it has been rated as Exceeds Most during this year. I congratulate it on its well deserved promotion. I am confident it will build on its technical abilities and focus on sharpening its business acumen and there by achieve greater heights. I thank it for all the hard work during 2013 and look forward to another productive year during 2014.
40,1,"Manager, Software Development 3",Manager,F,3,Meets,65,Yes,"Overall, it had a good year.  It was a key driver in making sure the agile transformation in H1 went successfully.  And it got much more engaged in the operations functions in the second half of the year. One of its strongest qualities is its ability to work and influence across teams.  It is a natural at relationships and has been able to keep many controversial topics in front of the teams without drama or tension.  It is one of the strongest people managers on the Biz Ops team for CSPD.  Areas of opportunity for it are in focusing on being more proactive rather than reactive with requests from [leader] and the CSPD leaders.  Putting in place more standard routines around headcount, financials, communications, scorecarding, pulse and training will be important in 2014 to ensure we can meet the many commitments we have but do so with minimal churn.  Over the course of the 2013, it started putting these in place and there are many opportunities for more rigor in this upcoming year.  Having the vision to anticipate the needs and put in place proactive measures is an area that I would like to see it focus on to grow and push itself this year.~~It is a great asset to the team.  Reliable, dependable, quality delivery and always a positive attitude.  It exemplifies the qualities that make a strong people manager and its team's attitudes reflect it."
41,1,Global Technical Support Engineer 3,Individual Contributor,M,5,Exceeds Most,78,No,"I think you've had a brilliant year it. You're defintely outgrown your grade 22 role (and then some). You're considered a leader for the group, the products, and any issues that need driving. You're very highly thought of by the main players in San Jose (colleague M, colleague T, colleague Y etc) and it's fully deserved. Thanks for everything you do it!"
42,1,"Chief of Staff, IRM Policy & Governance",Director,F,4,Exceeds Some,45,Yes,"no comments provided by [XX] for YE~~It certainly helped with what seemed to be a very busy year in 2013. Its contributions ranged from organizational to Chief of Staff, to GRC throughout the various changes in IRM. "
43,1,"Director, IRM Consulting",Director,F,3,Meets,45,Yes,no comments from [XX] for YE
44,1,"Manager, Software Development 3",Manager,M,3,Meets,18,Yes,"After it joined 001 in Q3 and started to lead its big data team, It quickly made a mark by prototyping an commerce insight merchant recommendation system leverage 002 Inc's data.  It also help the team go through a transition time where its  charter and mission were redefined.  It openly embraced the change and set up the team for greater success in 2014.~~Going forward, I like to see it more aggressively pursue and execution against our commerce insight aspiration."
45,1,"Sr Manager, Quality & Release Solutions",Manager,M,4,Exceeds Some,30,Yes,"This is a combined review for it, taking into account feedback from [prior manager] and my own feedback based on the past 60 days in 2013...~~Strengths:~- Leadership brand is viewed as Precise, accurate and focuses on Operational Excellence. It has genuine desire to operate collaboratively, focusing on putting the customer and company first.~- Extremely results oriented. Examples: 1) It improved L10N BIR by focusing on separating functional and linguistic errors and addressing the root. 2) It improved IQMpulse results and in general the IQMs are much happier now in their role than a year ago. 3) It brought in good talents like A, B and C and managed out low performers (Z). 4) Its JIRA process contribution was great, it took over that for the entire CQ organization. 5) Agile processes. [Colleague] asked it to represent CQ needs with [Colleague]'s org and it has done that successfully. 6) E2E automation targets, it executed it rapidly and as a result in 6 months we have over 2K global E2E tests automated and running, which brings value to release level system verification for all international sites.~- Focus on metrics, data and analytics; it is positioned to be the spokesperson for quality metrics to the technology leadership team. In addition, it’s positioned to build the data/metrics infrastructure across QRS~- Contributed to the QRS exercise strategy in 2014; leads the QRS/PD/CQ working team engagement; principal contributor in the Defect management initiative.~- It is viewed as an excellent process engineering leader and OE champion.~- Articulates its ideas well, very calm and collected, delivers a good message to technology leaders~~Areas of Development:~- Conflict management. Managing the relationship and IQS discussions with G11N. Focusing on communication that clarifies roles, responsibilities, expectations, and accountability. It needs to demonstrate managerial courage by sticking to its convictions where applicable, especially when there's a conflict in priorities/directions/strategies.~- Taking on too many things instead of leveraging its core competency, which is excellent process engineering skills~- Tends to get into execution mode very fast, sometime without thinking the strategy through, or analyzing the big picture. ~- Adjust communication channel, content, message to the audience to provide more clarity, and achieve desired results.~~Overall, it is a strong leader with tremendous potential and opportunity in 2014 QRS organization. A few areas of focus in H1/2014:~<font siz"
46,1,"Director, Retail Integrations",Director,M,2,Meets Some,13,Yes,"I took over leadership of the NA LE team in late September of 2013.  My feedback is a function of the limited experiences I have had with it directly, along with feedback from other stakeholders. It has been rated a Meets Some for 2013.~~I agree with its summary; this was a challenging year overall for many contributors and leaders in the in-store space.  The in-store strategic model shifted half way through the year, and with no significant marketing of 001's in-store solutions, there was no material volume driven and goals achieved as a result.  In spite of the efforts put in by many, the overall business goals were not achieved and that clearly plays into the rating that it recieved.~~In getting to know it over the last several months, it has very clear strengths.  It is very knowleddgeable and well versed in the Payments Space, has a good grasp of our products, and it is very loyal.  This has allowed it to deal with the adverse circumstances that it was faced with, and that also gave its team comfort through those times.~ ~There are a few development opportinities I want it to be aware of, and focus on as it enters 2014.  First, I believe it can be a more assertive leader with the knowledge and expertise that it brings to the table.  It is an industry veteran, and can help forge 001's strategy in the in-store space, rather than be an unsatisfied recipient of it.  I want it to take that license and liberty, and drive that thought leadership which I know it is fully capable of doing.  Second, I want it to be aware of its communication style - It has an opportunity to be more concise and focused to achived the objective of the discussion. ~~In moving it to its new business operations role, it has been a consumate professional, which I respect as well. "
47,1,"MTS 1, Software Engineer",Individual Contributor,M,5,Exceeds Most,24,Yes,"To highlight, its contributions and its strengths, it is a quick learner; ramps up very quickly on any new initiative come its way. It works great with its peers and its availability to its team mates is awesome. ~~I would continue to encourage it for following:~Good communication with respect to asking questions when not sure about designs/requirements~Providing good updates/raising concerns on the status is of current items being worked on~Being a team player, ready to jump on anything if situation demands~Strong Execution skills~It is top notch as a team member. It’s very thorough at digging in to a problem and finding  solid solution.~~There are very few areas where I see it to continue refining further for further growth and success:~Sometimes, it signs up for more than it can handle, I would encourage it to leverage its team mates to ensure it can WLB~Further, I would encourage it to be playing with industry best available pattern, frameworks so that we can have better engineering implementations"
48,1,Director Prog & Portfolio Mgmt,Director,M,3,Meets,10,Yes,"2013 was a transformational year for it.~As 2013 progressed it grew its team from 1 to 10 people as its purview grew from 1 to 6 product lines, and as its team was supporting from 80 (in Q1 2013) to 200+ engineers/CQ (in Q1 2014).~~I appreciate its ability to lead its team. It had zero attrition in 2013, and helped employees with a perceived “lower performance” rating to become highly motivated and delivering great results.~~Leading Platform PMO is not easy, as almost all 001’s teams are dependent on components and/or deliverables from the Platform team. In 2013 these dependencies have become more and more impactful as 001 develops a Platform-first mentality. Because of all this I expect it and its team to play a very active role in setting and driving cross-program dependencies in order to better plan and solve conflicts, delays and impacts way ahead of time allowing all teams to created alternative plans or to change roadmaps.~It successfully drove its team in meeting and exceeding the Agile Transformation goals set for 2013.~~Among the countless products and programs that its help lead is the launch of Uber, PPaaS, Onboarding, Auth, User platforms.~~In 2014 I expect it to be more active and vocal among its PMO peer group across 001 to ensure all dependencies are clear and changes are communicated in time.~~I expect it to play as an equal strategic partner with [colleague A] and [colleague B]. I know it’s hard given both their strong personalities, however they need its skills and direction. While [colleague A] brings Engineering expertise, and [colleague B] brings Product expertise, there is a deep need for strategic planning, dependency and expectation management.~~In 2014 we except it to continue this high level of performance as the Platform org hires more engineers and CQ and it adds people to its PMO team.~~Positive peer feedback:~Keeps its eye on the task at hand (helps the team stay on point when trying to get something done)~Also considers what is strategic when focusing on a task~A good partner~Well organized~Diligent in its work - I don't think I've ever had to follow up with it on a topic.~Clear communicator~Overall, I think it has strong PMO skills.~Delegation and trust - it assigned complete trust on my abilities and guided me thru the initial, and most difficult phase of the program. It managed me only thru exceptions and when I requested. It provided me direct and continuous feedback after talking to my stakeholders and supported me 100%.~Ability to manage conflicting stakeholder priorities - it showed good judgement and ability to manage multiple stakeholders with often conflicting priorities. It is not afraid to call out the risks and assign responsibilities. This resulted in several issues getting the highlight they needed.~Decision making - it is fast in decision making and action implementation. I have received quick response from it whenever I needed and suggestions, decisions or guidance~I think it really cares about doing the right thing for people and for the company. For example, when it seemed to misinterpret an email and respond too harshly, it was quick to get the conversation back on track. Most people just brush off this type of communication mis-fire, but it handled it directly with professionalism and compassion.~~<li"
49,1,Sr. Data Architect,Individual Contributor,F,4,Exceeds Some,69,Yes,Its  2013 contribution was noteworthy as it has established itself as a strong and competent Data Architect and as someone who is ready to face challenges and execute to completion.   ~~Its numerous and diverse projects and exemplary accomplishments is an outstanding testament of what Data Architecture is all about.  ~~I have had equally received positive feedback from its peers and customers.~~I'm thrilled to have it to be part of the team and I look forward to the same quality output and diligence in 2014.   ~~It was recommended for a T27 promotion.
50,1,"Director, Risk Product Development",Director,M,4,Exceeds Some,,Yes,
51,1,"MTS 1, Integration/Sales Engineer",Individual Contributor,F,3,Meets,62,Yes,"It has been a strong and effective leader in the ProX program.  It helped to guide the team and deliver excellent end to end results for the project.  It collabated well and planned efficiently.  It was also doing well digging into the details and really understanding the necessary nuiances.  Feedback about it was positive from the team.  It has the capability and the strength to lead large and impactful efforts with difficult coordination and partnering as well as aggresive expectations and goals. ~~It manages well and is definitely appreciated by its team.  It sets goals and guidance effectively for its team and ensures they feel they have the right support and path to be successful.  It invests in the careers of its team and effectively mentors individuals.~~When leading initiatives across the organization, it has shown very good follow through, drive, and effectiveness.  On the fortify requirements implemented across the organization, it did a great job pushing hard for results and got good credit and recognition from the director owning that overall initative.  ~~Direct Peer Feedback:~""It, loved working with it.""~""There's something about personal interaction that often makde me feel like it wasn't hearing all I was saying, or getting the point I was trying to make. Thing is, its actions on the project showed repeatedly that it was on top of things.""~It should look to proactively spot and fix problem areas in legacy domains it is given and escalate issues quickly.  Also, it should be careful to ensure clear and straigtforward two way communication amongst its peers.  For the future, I would like to see it continue to grow as a technical leader and look for opportunities to make an impact on the greater organization to highlight its strengths."
52,1,"Director, Software Development 1",Director,F,4,Exceeds Some,4,Yes,"It is an incredible technology leader and a great person to work with. It is an asset to it. In this review cycle, it is promoted as a director of engineering.~~Its leadership style is business focusing, data driven, result driven and being inspirational.~Under its leadership, it team built the 001 Here Onboarding team to achieve industry best mobile first boarding experience and improved conversion from 48% to 80+% in US.  Bond OB launched with 90% approval rate and 70% overall conversion from the start.  ~Result: Immediate acquisition value as demonstrated by conversion rates. Drive 001 forward as innovator.  80% + improvement in conversion. Part of the 700m to 14B mobile commerce transformation. mWPS from 30% to 50%  incremental TPV~~It also championed CI adoption and strategy for Business organization. Part of the task force it was instrumental in championing –~KPIs for the champions success criteria~Culture and mindset change for CI adoption instead of tactical one time certification based approach~Crafted the CI goals, tools and strategy for Native Mobile apps across CE organization~The result:  Continuous integration allows us for the first time to constantly be integrating and testing our software throughout agile sprints. This ensures we deliver a higher quality product giving users a better experience.~~It also built a productive and a happy organization. Its team and its partners cross the organization are very supportive in its work and aligning the overall business value.  ~~While being one of the few Women in Tech director, I am expecting it to continue its path to be more successful:~Drive bigger domain in business CE domains with bigger teams and more talent hiring.~Influence other Engineering leaders to build a productive & happy team.~Mentor, sponsor , hire more women in tech"
53,1,"MTS 1, Software Engineer, Quality",Individual Contributor,F,4,Exceeds Some,51,Yes,"It is receiving an Exceeds Some rating for the second half of the year, and an Exceeds Some for its final overall 2013 rating.~~It demonstrated the following 002/001 shared commitments and shared behaviors in this review cycle: Be the customer; Execute well, every day; Do the right thing~~For its career development, it is recommended that it focus on the following areas as we continue our journey from good to great:~Focus on improving the velocity of our C-Train releases while still maintaining high quality~For the C-Train releases, implement a new reporting system that tracks intermediate milestones~Continue to improve written communication skills - taking it to the next level"
54,1,"Director, Software Development 1",Director,F,5,Exceeds Most,3,Yes,"2013 has been a transformational year for it, marked by steady execution of key initiatives such as ODM adoption and migration, establishment of team AET, delivery of SC 2.0 and on plan delivery of key IDI migration milestones. It continued to demonstrate sharp focus, execution with high quality and maturing as a planner and communicator to be a senior leader in Risk PD.~~In 2014 it has been entrusted with expanded responsibilities by taking the leadership role of the critical risk pre-transaction domains which are facing with some challenges in the area of maturity of leadership and proactive planning. It faces with many key deliveries  as well as the need to upgrade the talent of the staff in Scottsdale. It will be tasked to kick off PPaaS, complete IDI migration for pre-txn as well as hitting our ATB and performance improvement goals. PPH and Prox have seen performance issues in the new java services build on IDI (addBank). With its  leadership and proactiveness, we hope these challenges will be addressed effectively."
55,1,"Director, Software Development 1",Director,M,5,Exceeds Most,,Yes,
56,1,"Manager, Software Development 1",Manager,M,3,Meets,75,No,"In 2013, it exhibited leadership abilities where it stood up for the entire Chennai team during tough times, helped new team members ( ICs and Managers) ramp up quickly and was the go to person. It is trust worthy and always exhibits good intentions and is accommodating to changes. ~~A few areas of improvement and coaching opportunities are identified, and once it works upon improving those, it can perform better and get the right visibility within Engineering and across DT organization."
57,1,Software Engineer 3,Individual Contributor,M,2,Meets Some,79,No,"It has been primarily working on supporting the Classic Activity Services. It has been doing a diligent job in working on the issues assigned to it, including follow ups with clients and product managers.~~Areas of Improvement:~It has to improve on its commitment towards deliverables. Many a times it has gone missing from work without notification which has resulted in missing commitments.~~It needs to gain more knowledge in fixing the complex issues which we encounter in Activity Services. Many a times it tends to depend on experts for help, whereas a deep knowledge and drive would help it in closing the issues itself."
58,1,"Director, Software Development 1",Director,M,3,Meets,3,Yes,"Last year it led the Pmt risk team to deliver a lot of projects under tight timeline and HC constraints. Big rocks and IRAS tracked both executed very well, the Shanghai team under [local manager] continued to mature and showcase the attention to detail and can do approach on IDI migration and quality releases.~~On the core payment area for Replatform and IDI migration, the team faced a lot of challenges and issues, especially during H2 of 2013. It showed a great amount of leadership and dedication to lead the team on mitigation and resolution. With its new role in Compliance PD, I expect it to continue to leverage its deep technical expertise and passion for platform, to deliver value in this new area. I complete enjoyed my time to work with it. We wish it the best and success in its new role."
59,1,"MTS 1, Software Engineer",Individual Contributor,M,3,Meets,36,Yes,"It did great job in 2013. ~~It designed and developed various PPH Monitoring features such as E2E dashboard, PPH Application monitoring , CI dashboard, etc.~~Not only it  delivered all the feature in short but also with very solid quality.  It picked up very fast. It is the one picked up all the features, bug fix , UI enhancement on CI dashboard in very short time.~~It always wants to keep itself up to date for the new technology.   It actively attended various 001 training (for example 001 architect training, payment training, etc.)~~The Quality of all the features it designed and developed are very solid,  almost has no bug. ~~It is very customer oriented.  It spent a lot of time to help customers for their specific requirements and make their life easy.   It is great team asset.~~I'd like to see it more actively play key technical role and bring in new technology in PPH/Retail organization."
60,1,"Manager, Software Development 2",Manager,M,3,Meets,,No,
61,1,"MTS 2, Software Engineer",Individual Contributor,M,4,Exceeds Some,21,Yes,"It delivered on the send money API needs for wallet through extensive research/domain knowledge and coming with up a creative alternative when underlying the core service pretty much had no viable solution to meet the business timeline. It has spent several hours designing, coding and transitioning to the right teams addressing various issues in a timely manner.~~On the improvement front, although it is very technical and full of ideas, as it is reaching higher technical leadership levels in the organization, it also needs to put emphasis on effective communication i.e  find right balance on listen vs speak, practice inquiry vs advocacy, express its views based on the audience and make sure people understand/appreciate its ideas in the first interaction. I strongly encourage it to take some effective communication courses at 002 this year. Once it overcomes this, based on its technical aptitude, hard work and creativity, sky is the limit for it!~~It recently joined the team and started on operability/foundation functions for mobile wallet. It has quickly understood the problem, worked with appropriate teams and put together dashboards, alerts and reporting to triage on going issues. Looking forward for another wonderful year from it!"
62,1,"Sr. Manager, UIE",Manager,M,4,Exceeds Some,19,Yes,"You are an integral part of App engineering leadership team, You made significant improvements in driving business application engineering team. You partners well with product and was able to make innovative suggestions for products to launch quickly and iterate. Connecting with teams and building strong engineering mindset is a big plus of yours. ~I would say you have great passion for driving business and you have made significant positive changes to drive business deliveries by effectively utilizing the team and empowering the remote teams to work with the San Jose team. ~Being a developer yourself you are able to connect with your teams very well be the role model for your teams. IT is really awesome to see a leader take so much time to grow their talent and take steps to push the people to grow in their career.~~You are a leader who never hesitates to question the norm and find innovative ways to get things done!!! I would say the GSD attitude you have is amazing as you drive change. ~AS you move in your career I would encourage you to partner with different cross functional teams to understand the bigger picture and provide strong strategic directions to the team. As you move to the new app engineering manager role i think you will blaze the trail for other app engineering managers in terms of technology direction, Driving change and building strong teams that can execute to a vision. ~~I am looking forward to many great things from you in 2014!! thank you for being an amazing leader for the UIE team!~~You have identified your area of development, I would encourage you to take time to understand  your teams weakness and build up your team so that you have a really strong team that can execute to your vision! ~ ~------Peer Feedback----~Start. What behaviors or actions should it start performing?~è Bi weekly 1:1.~è Organize cross-team meetings, so we are Business UIE synced up with the rest UIEs.~è Committing to the product needs according to the available UIE resources.~è More vivid recognition and appreciation for the team members who deserve it.~ ~Stop. What behaviors or actions should it stop performing?  ~è Nothing really here…. Maybe.. stop losing technical skills?~~Continue. What behaviors or actions should it continue performing?~è Continue to be a great leader and a person nice to work with.~è Care about engineers who report to it.~è Efficiently drive the UIE team~ Continue – it is very good at being the customer.  It leverages its technical ability and a solid understanding of the specific customer outcomes we are driving for.  It is engaged and very collaborative.~~Start – Being more aggressive in providing leadership.  It is very skilled and brings a different perspective to many problems but sometimes I think it holds back and is conservative with its team interactions.  I’d like to see it be more aggressive in stating its points and influencing debates.~~Start~Be more available,  it’s spre"
63,1,"Director, Software Development 1",Director,F,4,Exceeds Some,44,Yes,"It had an excellent 2013 and earned a rating of Exceeds Some in its role as the Super Vertical (SV) leader for Product and Marketing.  It is an outstanding analytics leader and has developed and grown the Data Solutions teams within San Jose that provide analytical/reporting expertise, data knowledge, strategic leadership and guidance to the Product and Marketing organizations. ~~It demonstrated outstanding leadership by overhauling the DT Product & Marketing Agile teams and business engagement model.  It also raised the bar on talent by moving people into new roles and personally driving proper external expectation setting as DT moved agile transformation forward. It made the requisite changes without disrupting critical business commitments.~~Its teams continued to execute well delivering critical initiatives like: PXP, PAD/TCE, Hermes, Unica, ODM and PSP. In addition, it skillfully led the optimization of legacy processes to improve SLA performance and data quality for the analyst community. For example, when campaign completion rates dropped to an alarmingly low level (<50%),  it quickly pulled together a cross functional team led the implementation of a series of enhancements that resolved the problem.~~Since taking over responsibility for Product and Marketing, it has transformed its organization into high performing agile teams and has earned high marks from its business partners, DT leadership and peers.  It has been a good champion for Agile. It knows the methodology well and personally coaches its PO’s and BSA’s on how to improve their functional skills. I’m really proud of the team spirit that exists within the DT Product and Marketing teams. There is positive energy, a sense of urgency and an appreciation for the importance of the work we do for the business. ~~In closing, it is one of Data Technology's brightest stars.  Its stellar contributions over the last couple of years resulted in a recent promotion to the director level.  I am looking forward to its continued leadership and influence in 2014 as we deliver on 001's vision to become a more data drive company. "
64,1,"Sr. Dir, Developer Environments",Director,M,3,Meets,12,Yes,"I certainly recognize how difficult of a half this was for you personally. I can also sympathize with what you had to go through because all of the things I have gone through with my mother. ~~Quite frankly, I was on the fence and it was a very difficult decision for me to decide between a ""meets some"" and a ""meets"" rating. I ultimately decided that the ""meets"" rating was appropriate taking everything into consideration and trying to focus on what you could control during this very difficult time personally. ~My goal for you in 2013 was to get back your confidence and show that you could deliver and execute after a tough exit at X.Commerce and an MTS role that I don't feel was successful. I wanted to define your new role with some meaty areas where you could show results… SB, Stages, and White Glove. ~~While giving you those slam dunks, I also wanted to create an experience for you where you would have to deal with some ambiguity. You are most effective when you know exactly what needs to be done and when you have simple marching orders. So I wanted to see you cascade down from Vision, Strategy, Goals, Tactics, Metrics/KPIs, Improvement Actions, Predictive impact, and ultimately Results tied to Business Value. For the Single, Simple, System Integrator work I did not see evidence of this cascading ability from ambiguity to results, and it makes it difficult for me to give you more responsibility. ~ ~Additional leadership competencies that are areas of development:~1) Organizational Agility:~- May spend too much time maneuvering for advantage~- May spend too much time and energy working on issues that lack substance~- May be seen as too political~2) Peer Relationships:~- May touch base with too many peers and be overly concerned with making everyone happy~- May be too accommodating~- May invest too much in peer relationships~3) Dealing With Ambiguity:~- May not do well on fuzzy problems with no clear solution or outcome~- May prefer more data than others, and structure over uncertainty~- Prefers things tacked down and sure~- Less efficient and productive under ambiguity"
65,1,"MTS 2, Software Engineer",Individual Contributor,M,3,Meets,74,No,"It Joined the team last year and It is a Quick Learner and has well Thoughout solutions~~It is a dedicated and passionate engineer~It has good mentoring Abilities~It has driven the entire JLA and delivered the same successfully with good quality~~Areas of improvements~-Has great ideas, but needs to work on its prioritization and execution, i.e. take 1 initiative at a time and debate/decide and deliver the same~ -Should nail down on which requires debate/decide mode, rather fire fighting evey stuff."
66,1,"MTS 2, Software Engineer",Individual Contributor,M,4,Exceeds Some,21,Yes,"Overall, a great year from it.  It has been a key player in the MWO development, building the unit/integration tests with high test coverage and helping speed up and bring the MWO automation to the levels need for dev certified release.~~A bit additional focus, I would like to see from it in 2014 is on technical leadership in terms of taking on abstract problems, putting together design and influencing across x-functional teams on its implementation. Along the way look out for mentoring junior members of the team on design, test best practices."
67,1,"MTS 1, Software Engineer",Individual Contributor,M,3,Meets,34,Yes,"o    It does a great job in analyzing requirements and if the effort is too large coming up with an alternative that can be met within the sprint.  It did this with the block e-Check/German EFT queries that were previously taking me a full day each week to complete.  It improved the process to daily and automated it so it’s now a 5 minute effort for me.~~o    It is very patient with the business (which can be very frustrating to support and seem unappreciative at times).  This strength appeared while it was supporting the Norkom User Access Reporting requirements that resulted from an audit.  The BU was un clear on what they wanted and it had to make a lot of changes and put forth a lot of manual work to address their urgent needs.  The report is now in Norkom available for the BU to pull whenever they need it.~~o    It has a lot of great ideas and has supported me to get up to speed on more technical projects.  It is able to translate my non-technical asks (when I’m not up to speed yet on the feature itself) to true deliverables.  An example here is with Native scanning and helping me to understand the capabilities of what was being built so that I could tie back to business requirements and future asks (eg: false-name native scanning)~~o    It is very soft spoken and sometimes has to work harder than others in the room to be heard. It should work on its volume and presence.  It should speak up and command the attention of the room.~   ~o    Good-Humored and Team Player – it keeps the team laughing with its good spirited jokes and stories.  A room is rarely tense when it’s in it, it keeps the atmosphere positive and focused on the goals at hand.  It’s always willing to take on tasks even outside of its expertise as long as it supports the greater good of the team and company.  "
68,1,Information Security Officer - Europe,Manager,M,3,Meets,83,No,"(Per discussion with it, I am simply forwarding for its approval without any comment, as I was not its manager at the time of this rating, and its rater at that time is no longer employed by the company.)"
69,1,"MTS 1, Software Engineer",Individual Contributor,M,3,Meets,71,No,"It has been playing a crucial role in shaping up AET team. Have leaded the team in right direction while team was going through re-org and domain change. New AET team faced many obstacles, but the way it negotiated them inspired entire team.~~Areas of improvement~Contribute to team with your engaged, distraction less debates/meetings/discussions to arrive at good designs~Participate in actively in scrum ceremonies."
70,1,Senior Software Engineer,Individual Contributor,M,3,Meets,87,No,"While the first part of the year started slowly, the pace has certainly picked up now. Your transition to a FinProd developer is complete. Now it is time to grow and expand your experience here, whether that means working on other technologies, teams, or projects. Continue to see where you can build and expand relationships within the company and learn from others."
71,1,"Dir., Product & Marketing Data Solutions",Director,F,4,Exceeds Some,43,Yes,"It had a great year leading its team to some big and impactful busienss wins, hiring good talent and evangelizing the product and its vision. It got great upwards feedback, peer feedback adn customer feedback from everyone I check with - it is clearly someone everyone in the organization appreciates for its domain expertise, collaborative approach and dedication to the cause. In my opinion it has demonstrated the leadership qualities, track record and value & behaviors that would justify its promotion to Director level in the company."
